Age,Income,Customer_Type
34,43618,Premium
54,43258,VIP
34,64295,Regular
44,58281,Silver
52,98175,Silver
20,77476,VIP
65,102800,Premium
21,41386,VIP
23,97694,Basic
65,56009,VIP
40,69067,Basic
70,23997,Gold
54,91751,Silver
35,87961,Premium
46,44474,VIP
63,34160,VIP
18,93878,Basic
33,95011,Regular
18,36546,Premium
20,107854,Basic
37,62548,VIP
18,36160,Premium
24,56197,Basic
65,45096,VIP
47,95409,Regular
31,58109,Premium
60,112458,Basic
39,118311,VIP
70,80983,Regular
19,52492,Basic
26,45687,Premium
50,83772,Regular
46,106675,VIP
53,71141,Gold
20,113788,Gold
66,83610,Regular
65,38918,Gold
45,107973,Gold
55,38070,Premium
62,97941,Silver
70,100300,Regular
48,97687,Basic
41,85243,Silver
36,67924,Premium
25,52034,Regular
24,56941,Silver
55,60111,Silver
31,82781,Premium
27,84044,Gold
38,64693,Premium
29,74388,Premium
51,37111,Regular
31,20928,Silver
69,23486,Regular
64,55717,Silver
57,116474,Gold
26,52928,Basic
31,48470,Regular
67,47090,Gold
32,114727,Regular
29,45197,Premium
54,51335,Premium
70,41896,Basic
46,29625,Gold
19,29602,Silver
56,88853,Silver
45,91005,Premium
33,54805,Basic
39,50757,Basic
30,79023,Regular
34,96519,Basic
30,111387,Basic
22,45747,Gold
42,82419,Basic
34,23591,Gold
21,45185,Regular
22,116839,Regular
18,21450,Regular
47,86999,Basic
37,110692,Regular
46,103470,Gold
53,88185,Regular
40,76082,Regular
53,48506,Premium
36,61572,Silver
22,98425,Basic
40,118763,Gold
50,108055,Regular
54,90072,Regular
45,34029,Regular
55,118063,Basic
47,88879,Gold
22,110756,Premium
58,20515,Basic
47,106758,VIP
18,104159,Silver
39,59374,Regular
59,44689,Silver
69,108930,Premium
24,95306,Regular
40,25929,Basic
59,33961,VIP
63,49533,Regular
50,37620,Premium
53,53287,Regular
40,112158,Basic
28,63574,Regular
43,54044,Gold
66,60454,Gold
67,74384,Silver
33,87731,VIP
20,61743,Regular
63,87537,Gold
42,68929,Regular
61,24248,Basic
53,100937,Basic
46,38312,Premium
23,52977,Gold
31,105992,Silver
27,67790,VIP
35,94871,Regular
35,66341,Gold
53,98537,VIP
23,80604,Gold
24,80103,Basic
56,76274,Silver
26,96894,Gold
39,29038,Regular
62,53323,Silver
59,110416,VIP
38,70717,Regular
62,44668,Premium
56,119852,Premium
22,35255,Silver
45,87466,Basic
46,28183,VIP
57,39973,Silver
58,100300,Gold
36,33126,Premium
67,55050,Silver
49,93700,Premium
47,66736,Gold
42,57728,Silver
66,44860,VIP
44,97115,Silver
44,36432,Regular
67,63344,Gold
48,33342,Gold
45,101546,Regular
47,42479,Premium
62,118723,Regular
33,100073,VIP
37,39905,Regular
66,68811,Gold
42,41863,Gold
34,30900,Silver
21,42354,Gold
47,80697,VIP
25,73119,Gold
49,84800,Basic
61,27288,Premium
63,85609,Gold
70,119264,Basic
25,108955,Regular
66,62154,Silver
26,61178,VIP
43,106168,Premium
18,28404,Silver
47,74176,Premium
38,87492,Gold
24,105589,Basic
27,85615,VIP
60,62275,Silver
18,71652,VIP
45,70595,Gold
29,110165,Regular
34,86781,Regular
19,82316,VIP
57,114477,VIP
37,102965,Premium
59,49768,Regular
57,45850,Basic
67,46564,Gold
20,92730,Basic
66,35892,Basic
23,22051,Premium
20,109322,Basic
40,40648,Premium
54,63648,Gold
32,118763,Regular
30,76670,VIP
32,111880,Basic
35,117764,VIP
40,100429,Gold
46,94142,Regular
19,84926,Basic
21,21992,Basic
25,37361,Regular
22,85686,Premium
44,60115,Gold
46,115418,Gold
29,38210,Basic
36,44867,Regular
62,89668,VIP
54,94404,VIP
60,109382,Regular
31,62436,Gold
34,39018,Gold
20,67039,Basic
66,70050,Premium
57,23539,Premium
57,21956,Premium
57,114692,Premium
42,106308,Basic
19,111740,Silver
19,20629,Regular
24,112543,Regular
40,59353,Premium
67,22887,Basic
39,113131,VIP
56,23460,Gold
59,58173,Silver
60,114051,Premium
48,32235,Silver
37,27758,Silver
30,115561,Premium
32,57587,Basic
56,102524,Gold
50,36331,Regular
50,44628,Basic
59,54369,VIP
38,109558,VIP
48,93971,Premium
26,78039,Silver
56,45904,Gold
31,62685,VIP
34,118847,Gold
29,29638,Silver
32,104088,VIP
64,103789,Regular
62,37213,Basic
27,101679,Premium
47,102345,Basic
50,85082,Regular
25,61771,Basic
32,80166,Silver
30,66811,Silver
35,68900,VIP
23,100538,Basic
69,66704,VIP
54,59794,Silver
20,35770,Premium
55,118267,Silver
28,100467,Silver
44,111782,Regular
41,34661,Premium
22,56082,Premium
19,20415,Premium
61,119528,Basic
63,22796,Silver
58,108515,Gold
62,30618,Regular
34,96017,Basic
40,77385,Regular
57,32136,Gold
55,27247,VIP
69,75748,Premium
60,117866,Gold
68,75996,VIP
60,28014,Gold
56,96494,Premium
44,41831,Regular
20,20154,Silver
25,35695,Gold
45,55614,Premium
57,94440,Regular
61,36615,VIP
32,103367,Regular
35,36665,Gold
43,99032,Basic
62,48253,Regular
39,34360,Basic
41,62561,Premium
44,61657,VIP
26,27439,Premium
32,67713,Gold
68,103435,Silver
38,51118,Regular
39,101811,Premium
31,103734,Basic
55,73878,Basic
29,102101,VIP
38,101276,Regular
19,55992,VIP
47,55586,Gold
29,26040,Gold
23,27863,Regular
55,32712,Silver
49,35777,Basic
32,82125,Gold
61,114916,VIP
20,64028,Premium
33,66696,Gold
36,53843,Regular
32,82430,Silver
68,22424,Basic
30,52494,VIP
41,65762,VIP
38,49969,Basic
22,35375,Silver
41,118767,Silver
67,91044,Basic
52,41798,Regular
46,28101,VIP
37,41454,Premium
36,62183,Premium
28,47387,Premium
19,111195,VIP
68,118704,Premium
30,45200,Gold
61,28066,VIP
33,78477,VIP
66,42816,Basic
60,68507,Basic
26,56717,Silver
50,118490,VIP
36,73180,Silver
56,38824,Regular
24,21168,Basic
52,117144,Premium
63,105556,Silver
42,69759,Gold
20,61641,Premium
18,105754,Premium
52,76831,Premium
54,73391,Regular
41,64371,Regular
27,36140,Premium
48,72044,VIP
61,20675,Gold
22,108411,Silver
47,31518,Basic
59,34716,Regular
57,77224,Silver
19,60091,Silver
39,39981,Basic
49,89163,Premium
32,31611,Premium
41,38468,VIP
60,45559,Regular
19,112125,Silver
39,96664,Silver
30,115807,Gold
19,96471,Silver
24,83076,Gold
34,43324,Premium
18,73953,Regular
19,55706,VIP
33,85855,Basic
